# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.373600006	1.533757583588908483e-20	-1.215078580315770325e-19	1.224720408744115317e-19	3.281708693376468204e+02
-1.373538971	1.627235304090192278e-20	-1.213874646946639882e-19	1.224732871220742811e-19	3.281631737447243040e+02
-1.373477936	1.720620020539408843e-20	-1.212598779426457905e-19	1.224745333698947401e-19	3.281554780311727768e+02
-1.373416901	1.813906196361929794e-20	-1.211251048837169447e-19	1.224757796546380446e-19	3.281477821969836555e+02
-1.373355865	1.907088299258897961e-20	-1.209831529935059507e-19	1.224770259533072189e-19	3.281400862421643296e+02
-1.373294830	2.000160803355616985e-20	-1.208340302081924747e-19	1.224782722783204186e-19	3.281323901666976894e+02
-1.373233795	2.093118187852208086e-20	-1.206777448568582417e-19	1.224795186084953031e-19	3.281246939705943646e+02
-1.373172760	2.185954939199323492e-20	-1.205143057369243389e-19	1.224807649668872280e-19	3.281169976538442370e+02
-1.373111725	2.278665550191783044e-20	-1.203437220511835867e-19	1.224820113571605879e-19	3.281093012164341758e+02
-1.373050690	2.371244517576194549e-20	-1.201660032872641421e-19	1.224832576405783471e-19	3.281016046583704906e+02
-1.372989654	2.463686353760398099e-20	-1.199811597892279806e-19	1.224845041192508562e-19	3.280939079796629017e+02
-1.372928619	2.555985566617210735e-20	-1.197892016874955708e-19	1.224857504471562730e-19	3.280862111802798040e+02
-1.372867584	2.648136686185690124e-20	-1.195901402502866611e-19	1.224869970076639770e-19	3.280785142602287010e+02
-1.372806549	2.740134234746328184e-20	-1.193839864227075883e-19	1.224882434220530132e-19	3.280708172195250540e+02
-1.372745514	2.831972755561675958e-20	-1.191707521252623099e-19	1.224894898794385316e-19	3.280631200581482858e+02
-1.372684479	2.923646797711946190e-20	-1.189504495565857895e-19	1.224907364231719877e-19	3.280554227760906087e+02
-1.372623444	3.015150914086138088e-20	-1.187230911214145782e-19	1.224919828760035966e-19	3.280477253733524776e+02
-1.372562408	3.106479673392292340e-20	-1.184886899055422998e-19	1.224932293298356539e-19	3.280400278499350861e+02
-1.372501373	3.197627654721637501e-20	-1.182472594187839093e-19	1.224944758831076391e-19	3.280323302058325794e+02
-1.372440338	3.288589442090585782e-20	-1.179988133866869712e-19	1.224957224254346848e-19	3.280246324410338730e+02
-1.372379303	3.379359636416427854e-20	-1.177433661978076793e-19	1.224969691005254946e-19	3.280169345555516429e+02
-1.372318268	3.469932838765403400e-20	-1.174809322704462416e-19	1.224982156510348055e-19	3.280092365493761122e+02
-1.372257233	3.560303674523052709e-20	-1.172115268915113543e-19	1.224994622915616246e-19	3.280015384224788590e+02
-1.372196197	3.650466771611195480e-20	-1.169351654888015058e-19	1.225007089487940081e-19	3.279938401749147374e+02
-1.372135162	3.740416773154836468e-20	-1.166518639679409313e-19	1.225019556206544796e-19	3.279861418066138299e+02
-1.372074127	3.830148332692529379e-20	-1.163616386405466873e-19	1.225032022934743772e-19	3.279784433176189964e+02
-1.372013092	3.919656116497637637e-20	-1.160645062158192469e-19	1.225044489407698290e-19	3.279707447079075564e+02
-1.371952057	4.008934808541844046e-20	-1.157604839658812021e-19	1.225056956958691131e-19	3.279630459774732003e+02
-1.371891022	4.097979096727724246e-20	-1.154495893069022586e-19	1.225069424108451856e-19	3.279553471263184292e+02
-1.371829987	4.186783691379136071e-20	-1.151318403266462583e-19	1.225081892154161211e-19	3.279476481544465969e+02
-1.371768951	4.275343306810512350e-20	-1.148072552480877978e-19	1.225094359496791061e-19	3.279399490618579307e+02
-1.371707916	4.363652683807733785e-20	-1.144758530245441768e-19	1.225106828002655635e-19	3.279322498485012147e+02
-1.371646881	4.451706561864575278e-20	-1.141376526407725386e-19	1.225119295482707809e-19	3.279245505144480717e+02
-1.371585846	4.539499712287440516e-20	-1.137926738920494343e-19	1.225131764149803053e-19	3.279168510596390433e+02
-1.371524811	4.627026909578141058e-20	-1.134409366959638554e-19	1.225144233168230048e-19	3.279091514840900459e+02
-1.371463776	4.714282940461009844e-20	-1.130824613041027903e-19	1.225156700951599578e-19	3.279014517878086963e+02
-1.371402740	4.801262626291227303e-20	-1.127172688167193850e-19	1.225169170774496418e-19	3.278937519707611727e+02
-1.371341705	4.887960781613411322e-20	-1.123453802038443584e-19	1.225181640141796474e-19	3.278860520329658925e+02
-1.371280670	4.974372248742625274e-20	-1.119668171114685047e-19	1.225194109558934783e-19	3.278783519744315527e+02
-1.371219635	5.060491885956548481e-20	-1.115816015523263109e-19	1.225206579225124722e-19	3.278706517951136448e+02
-1.371158600	5.146314564410406667e-20	-1.111897558745604509e-19	1.225219048620719819e-19	3.278629514950532098e+02
-1.371097565	5.231835179748057535e-20	-1.107913029596680227e-19	1.225231518787607970e-19	3.278552510742138111e+02
-1.371036529	5.317048637480614699e-20	-1.103862659346015141e-19	1.225243989102497578e-19	3.278475505326135249e+02
-1.370975494	5.401949862842545238e-20	-1.099746683546265584e-19	1.225256459349493099e-19	3.278398498702352413e+02
